sentence_id,word_id,word,word_lower,pos,head_dist,abs_head_dist,direction,token_frequency,log_token_frequency,token_length,sentence_position,relation_type,token_length_bin,sentence_position_bin,abs_head_dist_bin,frequency_bin
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001,5,forces,forces,NOUN,1,1,Before Head,32,3.4965075614664802,6,6,nsubj,5-6,6-10,1-2,"(2.833, 3.497]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001,14,preacher,preacher,NOUN,-6,6,After Head,2,1.0986122886681096,8,15,appos,7-8,11-15,5-6,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001,17,mosque,mosque,NOUN,-3,3,After Head,2,1.0986122886681096,6,18,nmod,5-6,16-20,3-4,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001,20,town,town,NOUN,-3,3,After Head,42,3.7612001156935624,4,21,nmod,3-4,21-25,3-4,"(3.497, 4.22]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001,27,border,border,NOUN,-6,6,After Head,13,2.639057329615259,6,28,nmod,5-6,26-30,5-6,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002,2,killing,killing,NOUN,6,6,Before Head,12,2.5649493574615367,7,3,nsubj,7-8,1-5,5-6,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002,6,cleric,cleric,NOUN,-4,4,After Head,1,0.6931471805599453,6,7,nmod,5-6,6-10,3-4,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002,11,trouble,trouble,NOUN,-2,2,After Head,15,2.772588722239781,7,12,obj,7-8,11-15,1-2,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002,13,years,years,NOUN,-4,4,After Head,150,5.017279836814924,5,14,obl,5-6,11-15,3-4,"(4.22, 8.54]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003,3,authorities,authorities,NOUN,1,1,Before Head,12,2.5649493574615367,11,4,nsubj,11-12,1-5,1-2,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003,12,cells,cells,NOUN,-4,4,After Head,5,1.791759469228055,5,13,obj,5-6,11-15,3-4,"(1.386, 2.197]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0004,8,officials,officials,NOUN,-3,3,After Head,30,3.4339872044851463,9,9,obl:agent,9-10,6-10,3-4,"(2.833, 3.497]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005,25,level,level,NOUN,-4,4,After Head,36,3.6109179126442243,5,26,obl,5-6,26-30,3-4,"(3.497, 4.22]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005,26,members,members,NOUN,-5,5,After Head,42,3.7612001156935624,7,27,obj,7-8,26-30,5-6,"(3.497, 4.22]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005,30,bombers,bombers,NOUN,-4,4,After Head,2,1.0986122886681096,7,31,nmod,7-8,31-35,3-4,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005,34,1960s,1960s,NOUN,-6,6,After Head,2,1.0986122886681096,5,35,obl,5-6,31-35,5-6,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006,7,head,head,NOUN,-3,3,After Head,35,3.58351893845611,4,8,obl:agent,3-4,6-10,3-4,"(3.497, 4.22]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006,10,investment,investment,NOUN,1,1,Before Head,11,2.4849066497880004,10,11,compound,9-10,11-15,1-2,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006,11,firm,firm,NOUN,-4,4,After Head,15,2.772588722239781,4,12,nmod,3-4,11-15,3-4,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007,7,market,market,NOUN,-2,2,After Head,43,3.784189633918261,6,8,obj,5-6,6-10,1-2,"(3.497, 4.22]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007,10,bombing,bombing,NOUN,1,1,Before Head,6,1.9459101490553132,7,11,compound,7-8,11-15,1-2,"(1.386, 2.197]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007,11,targets,targets,NOUN,-6,6,After Head,11,2.4849066497880004,7,12,obl,7-8,11-15,5-6,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008,1,cells,cells,NOUN,2,2,Before Head,5,1.791759469228055,5,2,nsubj,5-6,1-5,1-2,"(1.386, 2.197]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008,11,districts,districts,NOUN,-6,6,After Head,1,0.6931471805599453,9,12,obl,9-10,11-15,5-6,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008,14,capital,capital,NOUN,-3,3,After Head,20,3.044522437723423,7,15,nmod,7-8,11-15,3-4,"(2.833, 3.497]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,2,announcement,announcement,NOUN,3,3,Before Head,3,1.3862943611198906,12,3,nsubj:pass,11-12,1-5,3-4,"(0.692, 1.386]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,8,progress,progress,NOUN,-1,1,After Head,14,2.70805020110221,8,9,obj,7-8,6-10,1-2,"(2.197, 2.833]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,14,terror,terror,NOUN,1,1,Before Head,21,3.091042453358316,6,15,compound,5-6,11-15,1-2,"(2.833, 3.497]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,15,cells,cells,NOUN,-5,5,After Head,5,1.791759469228055,5,16,obj,5-6,16-20,5-6,"(1.386, 2.197]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,21,news,news,NOUN,-2,2,After Head,34,3.5553480614894135,4,23,obj,3-4,21-25,1-2,"(3.497, 4.22]"
weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009,30,government,government,NOUN,-3,3,After Head,62,4.143134726391533,10,32,obj,9-10,31-35,3-4,"(3.497, 4.22]"
