relation_type,token_length_bin,sentence_position_bin,frequency_bin,abs_head_dist_bin,n_before_raw,n_after_raw,n_pairs_kept
advcl,3-4,11-15,"(4.22, 8.54]",5-6,1,5,1
advcl,3-4,16-20,"(3.497, 4.22]",5-6,1,2,1
advcl,3-4,21-25,"(2.197, 2.833]",5-6,1,1,1
advcl,3-4,26-30,"(3.497, 4.22]",5-6,1,3,1
advcl,5-6,11-15,"(2.197, 2.833]",5-6,1,2,1
advcl,5-6,11-15,"(3.497, 4.22]",5-6,1,2,1
advcl,5-6,6-10,"(4.22, 8.54]",5-6,1,1,1
advcl,7-8,6-10,"(0.692, 1.386]",5-6,2,1,1
advcl,7-8,6-10,"(1.386, 2.197]",3-4,1,1,1
advcl,9-10,6-10,"(2.197, 2.833]",5-6,2,1,1
ccomp,3-4,16-20,"(4.22, 8.54]",5-6,1,2,1
ccomp,3-4,21-25,"(2.197, 2.833]",5-6,1,3,1
ccomp,3-4,6-10,"(4.22, 8.54]",5-6,1,6,1
ccomp,5-6,6-10,"(4.22, 8.54]",5-6,2,5,2
ccomp,7-8,6-10,"(2.833, 3.497]",3-4,1,1,1
ccomp,7-8,6-10,"(3.497, 4.22]",5-6,1,2,1
compound,3-4,1-5,"(1.386, 2.197]",1-2,28,3,3
compound,3-4,1-5,"(2.197, 2.833]",1-2,48,1,1
compound,3-4,11-15,"(2.833, 3.497]",1-2,40,1,1
compound,5-6,1-5,"(4.22, 8.54]",1-2,28,1,1
compound,9-10,1-5,"(0.692, 1.386]",1-2,30,2,2
nmod,3-4,1-5,"(3.497, 4.22]",3-4,1,6,1
nmod,3-4,11-15,"(3.497, 4.22]",1-2,1,9,1
nmod,3-4,16-20,"(4.22, 8.54]",1-2,1,6,1
nmod,3-4,21-25,"(3.497, 4.22]",3-4,1,16,1
nmod,3-4,6-10,"(3.497, 4.22]",3-4,1,47,1
nmod,5-6,1-5,"(2.197, 2.833]",3-4,1,9,1
nmod,5-6,11-15,"(1.386, 2.197]",3-4,1,24,1
nmod,5-6,16-20,"(2.197, 2.833]",1-2,1,7,1
nmod,5-6,21-25,"(0.692, 1.386]",3-4,1,13,1
nmod,5-6,21-25,"(1.386, 2.197]",1-2,1,5,1
nmod,5-6,26-30,"(1.386, 2.197]",3-4,1,6,1
nmod,5-6,26-30,"(2.197, 2.833]",5-6,1,4,1
nmod,5-6,6-10,"(2.197, 2.833]",1-2,1,27,1
nmod,7-8,1-5,"(1.386, 2.197]",1-2,1,7,1
nmod,7-8,1-5,"(1.386, 2.197]",3-4,1,8,1
nmod,7-8,11-15,"(2.833, 3.497]",5-6,1,11,1
nmod,7-8,11-15,"(3.497, 4.22]",1-2,1,8,1
nmod,7-8,16-20,"(1.386, 2.197]",5-6,1,9,1
nmod,7-8,16-20,"(3.497, 4.22]",5-6,1,6,1
nmod,7-8,26-30,"(1.386, 2.197]",3-4,1,13,1
nmod,7-8,6-10,"(0.692, 1.386]",1-2,1,19,1
nmod,7-8,6-10,"(1.386, 2.197]",5-6,1,4,1
nmod,7-8,6-10,"(2.833, 3.497]",5-6,1,7,1
nmod:unmarked,1-2,11-15,"(2.197, 2.833]",1-2,1,1,1
nmod:unmarked,1-2,21-25,"(2.197, 2.833]",1-2,2,1,1
nmod:unmarked,1-2,6-10,"(2.197, 2.833]",1-2,1,1,1
nmod:unmarked,3-4,1-5,"(4.22, 8.54]",1-2,3,1,1
nmod:unmarked,3-4,11-15,"(4.22, 8.54]",1-2,1,4,1
nmod:unmarked,3-4,11-15,"(4.22, 8.54]",3-4,2,5,2
nmod:unmarked,3-4,16-20,"(4.22, 8.54]",3-4,1,1,1
nmod:unmarked,5-6,1-5,"(3.497, 4.22]",3-4,1,1,1
nmod:unmarked,5-6,6-10,"(3.497, 4.22]",1-2,6,3,3
nmod:unmarked,7-8,6-10,"(3.497, 4.22]",5-6,1,1,1
nmod:unmarked,9-10,11-15,"(2.833, 3.497]",5-6,1,1,1
nsubj,11-12,1-5,"(1.386, 2.197]",1-2,12,1,1
nsubj,11-12,1-5,"(1.386, 2.197]",3-4,2,3,2
nsubj,11-12,1-5,"(2.197, 2.833]",3-4,1,4,1
nsubj,11-12,11-15,"(0.692, 1.386]",1-2,1,2,1
nsubj,11-12,16-20,"(0.692, 1.386]",1-2,4,3,3
nsubj,11-12,16-20,"(0.692, 1.386]",3-4,1,1,1
nsubj,11-12,6-10,"(1.386, 2.197]",1-2,2,1,1
nsubj,11-12,6-10,"(1.386, 2.197]",3-4,1,4,1
nsubj,11-12,6-10,"(1.386, 2.197]",5-6,3,2,2
nsubj,11-12,6-10,"(2.197, 2.833]",3-4,4,1,1
nsubj,11-12,6-10,"(2.833, 3.497]",3-4,1,2,1
nsubj,13-14,1-5,"(0.692, 1.386]",1-2,2,1,1
nsubj,3-4,1-5,"(0.692, 1.386]",1-2,10,1,1
nsubj,3-4,1-5,"(1.386, 2.197]",1-2,15,3,3
nsubj,3-4,1-5,"(1.386, 2.197]",3-4,9,3,3
nsubj,3-4,1-5,"(2.197, 2.833]",1-2,16,2,2
nsubj,3-4,1-5,"(2.197, 2.833]",3-4,14,2,2
nsubj,3-4,1-5,"(2.833, 3.497]",1-2,39,3,3
nsubj,3-4,1-5,"(2.833, 3.497]",3-4,18,4,4
nsubj,3-4,1-5,"(3.497, 4.22]",1-2,37,1,1
nsubj,3-4,1-5,"(3.497, 4.22]",3-4,31,4,4
nsubj,3-4,1-5,"(4.22, 8.54]",1-2,40,8,8
nsubj,3-4,1-5,"(4.22, 8.54]",3-4,24,9,9
nsubj,3-4,11-15,"(1.386, 2.197]",1-2,6,1,1
nsubj,3-4,11-15,"(2.197, 2.833]",1-2,7,3,3
nsubj,3-4,11-15,"(3.497, 4.22]",1-2,15,2,2
nsubj,3-4,11-15,"(3.497, 4.22]",3-4,2,1,1
nsubj,3-4,11-15,"(4.22, 8.54]",1-2,13,3,3
