sentence_id,word_id,word,word_lower,pos,head_dist,abs_head_dist,direction,token_frequency,log_token_frequency,token_length,sentence_position,relation_type,token_length_bin,sentence_position_bin,abs_head_dist_bin,frequency_bin,matched_stratum_id
weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0038,2,time,time,NOUN,4,4,Before Head,397,5.986452005284438,4,3,obl,3-4,1-5,3-4,"(4.22, 8.54]",372
answers-20111108091609AAHOFa6_ans-0003,32,school,school,NOUN,1,1,Before Head,56,4.04305126783455,6,33,nsubj,5-6,31-35,1-2,"(3.497, 4.22]",169
answers-20111108103930AA7FPhc_ans-0006,3,things,things,NOUN,-2,2,After Head,85,4.454347296253507,6,4,nsubj,5-6,1-5,1-2,"(4.22, 8.54]",130
newsgroup-groups.google.com_GayMarriage_0ccbb50b41a5830b_ENG_20050321_181500-0014,3,lists,lists,NOUN,3,3,Before Head,13,2.639057329615259,5,4,nsubj,5-6,1-5,3-4,"(2.197, 2.833]",125
reviews-332105-0001,16,years,years,NOUN,-6,6,After Head,150,5.017279836814924,5,17,obl,5-6,16-20,5-6,"(4.22, 8.54]",440
email-enronsent42_01-0064,4,settlement,settlement,NOUN,-4,4,After Head,26,3.295836866004329,10,5,nsubj:pass,9-10,1-5,3-4,"(2.833, 3.497]",66
email-enronsent43_01-0108,4,Description,description,NOUN,-4,4,After Head,7,2.0794415416798357,11,5,nsubj,11-12,1-5,3-4,"(1.386, 2.197]",69
reviews-351561-0025,4,yelling,yelling,NOUN,4,4,Before Head,3,1.3862943611198906,7,5,obl,7-8,1-5,3-4,"(0.692, 1.386]",463
answers-20111108102445AA5mfrq_ans-0008,4,money,money,NOUN,3,3,Before Head,91,4.5217885770490405,5,5,obj,5-6,1-5,3-4,"(4.22, 8.54]",279
newsgroup-groups.google.com_IdeaStockExchange_c6ea783ac3f043ba_ENG_20041120_243700-0015,9,firm,firm,NOUN,2,2,Before Head,15,2.772588722239781,4,11,nsubj,3-4,11-15,1-2,"(2.197, 2.833]",92
answers-20111108092321AAK0Eqp_ans-0014,8,rates,rates,NOUN,4,4,Before Head,20,3.044522437723423,5,9,nsubj,5-6,6-10,3-4,"(2.833, 3.497]",182
newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0059,8,Title,title,NOUN,-2,2,After Head,7,2.0794415416798357,5,9,obl,5-6,6-10,1-2,"(1.386, 2.197]",450
weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0069,4,end,end,NOUN,-4,4,After Head,83,4.430816798843313,3,5,obl,3-4,1-5,3-4,"(4.22, 8.54]",372
newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0015,1,essence,essence,NOUN,4,4,Before Head,4,1.6094379124341003,7,2,obl,7-8,1-5,3-4,"(1.386, 2.197]",465
weblog-blogspot.com_alaindewitt_20040929103700_ENG_20040929_103700-0031,13,periods,periods,NOUN,-3,3,After Head,6,1.9459101490553132,7,14,nsubj,7-8,11-15,3-4,"(1.386, 2.197]",202
answers-20111108110437AA5JNkr_ans-0005,13,reins,reins,NOUN,-2,2,After Head,4,1.6094379124341003,5,14,nsubj,5-6,11-15,1-2,"(1.386, 2.197]",134
reviews-231203-0007,12,cases,cases,NOUN,6,6,Before Head,12,2.5649493574615367,5,13,obl,5-6,11-15,5-6,"(2.197, 2.833]",426
weblog-blogspot.com_healingiraq_20050121235804_ENG_20050121_235804-0002,3,streets,streets,NOUN,4,4,Before Head,4,1.6094379124341003,7,4,nsubj,7-8,1-5,3-4,"(1.386, 2.197]",193
weblog-blogspot.com_dakbangla_20050210141134_ENG_20050210_141134-0062,8,cover,cover,NOUN,6,6,Before Head,23,3.1780538303479458,5,9,obl,5-6,6-10,5-6,"(2.833, 3.497]",456
reviews-181748-0001,6,Guy,guy,NOUN,-3,3,After Head,37,3.6375861597263857,3,7,nsubj,3-4,6-10,3-4,"(3.497, 4.22]",117
email-enronsent35_01-0100,11,lawyers,lawyers,NOUN,1,1,Before Head,9,2.302585092994046,7,13,nsubj,7-8,11-15,1-2,"(2.197, 2.833]",204
weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0020,3,lot,lot,NOUN,-2,2,After Head,89,4.499809670330265,3,4,nsubj,3-4,1-5,1-2,"(4.22, 8.54]",89
reviews-229623-0003,15,staff,staff,NOUN,3,3,Before Head,81,4.406719247264253,5,17,nsubj,5-6,16-20,3-4,"(4.22, 8.54]",155
email-enronsent44_01-0063,18,time,time,NOUN,-3,3,After Head,397,5.986452005284438,4,19,nmod:unmarked,3-4,16-20,3-4,"(4.22, 8.54]",27
email-enronsent16_01-0020,6,extent,extent,NOUN,2,2,Before Head,5,1.791759469228055,6,7,obl,5-6,6-10,1-2,"(1.386, 2.197]",450
answers-20111108110012AAK8Azy_ans-0019,9,fact,fact,NOUN,6,6,Before Head,53,3.9889840465642745,4,10,obl,3-4,6-10,5-6,"(3.497, 4.22]",407
answers-20111107175720AAlb2TB_ans-0011,4,rain,rain,NOUN,-2,2,After Head,6,1.9459101490553132,4,6,nsubj,3-4,6-10,1-2,"(1.386, 2.197]",113
answers-20111108105029AARU1Lf_ans-0013,21,urine,urine,NOUN,-2,2,After Head,5,1.791759469228055,5,22,nmod,5-6,21-25,1-2,"(1.386, 2.197]",41
reviews-364454-0002,5,customer,customer,NOUN,4,4,Before Head,47,3.8712010109078907,8,6,obl,7-8,6-10,3-4,"(3.497, 4.22]",497
email-enronsent37_01-0102,1,class,class,NOUN,2,2,Before Head,17,2.8903717578961645,5,2,obl,5-6,1-5,1-2,"(2.833, 3.497]",417
reviews-376320-0007,11,out,out,NOUN,2,2,Before Head,442,6.093569770045136,3,12,obl,3-4,11-15,1-2,"(4.22, 8.54]",377
answers-20111108094927AA5NjHj_ans-0006,12,disciplines,disciplines,NOUN,5,5,Before Head,1,0.6931471805599453,11,13,obj,11-12,11-15,5-6,"(0.692, 1.386]",265
reviews-086839-0005,15,week,week,NOUN,1,1,Before Head,89,4.499809670330265,4,16,obl:unmarked,3-4,16-20,1-2,"(4.22, 8.54]",307
weblog-juancole.com_juancole_20040823064025_ENG_20040823_064025-0029,13,incident,incident,NOUN,3,3,Before Head,6,1.9459101490553132,8,14,obl,7-8,11-15,3-4,"(1.386, 2.197]",472
answers-20111107194805AAdINwt_ans-0018,5,driver,driver,NOUN,-5,5,After Head,8,2.1972245773362196,6,6,obl,5-6,6-10,5-6,"(1.386, 2.197]",452
weblog-blogspot.com_rigorousintuition_20060511134300_ENG_20060511_134300-0272,8,fans,fans,NOUN,-4,4,After Head,3,1.3862943611198906,4,10,nsubj,3-4,6-10,3-4,"(0.692, 1.386]",112
answers-20111107144339AA0qw5S_ans-0015,18,spite,spite,NOUN,6,6,Before Head,5,1.791759469228055,5,19,obl,5-6,16-20,5-6,"(1.386, 2.197]",433
answers-20111108073322AA27tkh_ans-0009,3,period,period,NOUN,3,3,Before Head,34,3.5553480614894135,6,4,nsubj:pass,5-6,1-5,3-4,"(3.497, 4.22]",57
email-enronsent01_02-0016,4,mother,mother,NOUN,-4,4,After Head,10,2.3978952727983707,6,5,obl,5-6,1-5,3-4,"(2.197, 2.833]",416
reviews-127252-0006,15,needs,needs,NOUN,4,4,Before Head,53,3.9889840465642745,5,17,obl,5-6,16-20,3-4,"(3.497, 4.22]",438
reviews-049766-0004,6,fact,fact,NOUN,5,5,Before Head,53,3.9889840465642745,4,7,obl,3-4,6-10,5-6,"(3.497, 4.22]",407
reviews-361348-0005,3,cheese,cheese,NOUN,-2,2,After Head,11,2.4849066497880004,6,4,nsubj,5-6,1-5,1-2,"(2.197, 2.833]",124
reviews-192713-0004,1,owners,owners,NOUN,2,2,Before Head,15,2.772588722239781,6,2,nsubj,5-6,1-5,1-2,"(2.197, 2.833]",124
weblog-blogspot.com_alaindewitt_20060924104100_ENG_20060924_104100-0149,29,extent,extent,NOUN,3,3,Before Head,5,1.791759469228055,6,30,nmod,5-6,26-30,3-4,"(1.386, 2.197]",42
email-enronsent34_01-0037,21,case,case,NOUN,3,3,Before Head,56,4.04305126783455,4,22,nmod,3-4,21-25,3-4,"(3.497, 4.22]",35
answers-20111106035951AADq0Qg_ans-0009,9,example,example,NOUN,5,5,Before Head,23,3.1780538303479458,7,11,obl,7-8,11-15,5-6,"(2.833, 3.497]",476
reviews-305187-0002,7,group,group,NOUN,-6,6,After Head,75,4.330733340286331,5,8,obl,5-6,6-10,5-6,"(4.22, 8.54]",461
weblog-blogspot.com_rigorousintuition_20050518101500_ENG_20050518_101500-0003,7,lot,lot,NOUN,-2,2,After Head,89,4.499809670330265,3,8,obl:unmarked,3-4,6-10,1-2,"(4.22, 8.54]",320
email-enronsent35_01-0138,8,agreements,agreements,NOUN,6,6,Before Head,4,1.6094379124341003,10,9,nsubj:pass,9-10,6-10,5-6,"(1.386, 2.197]",67
answers-20111108065616AAKtL2c_ans-0069,1,waiter,waiter,NOUN,2,2,Before Head,5,1.791759469228055,6,2,nsubj,5-6,1-5,1-2,"(1.386, 2.197]",122
reviews-187266-0012,13,time,time,NOUN,5,5,Before Head,397,5.986452005284438,4,14,obl:unmarked,3-4,11-15,5-6,"(4.22, 8.54]",305
weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0167,1,media,media,NOUN,2,2,Before Head,27,3.332204510175204,5,2,nsubj,5-6,1-5,1-2,"(2.833, 3.497]",126
