index,n_tokens,n_types,top_pos,top_pos_pct,top_length,top_length_pct,top_head_dist,top_head_dist_pct,top_relation_type,top_relation_type_pct,top_arity,top_arity_pct
1,10067,1600,PRON,33.24,3,21.1,1,31.79,nsubj,32.95,0,83.68
2,9647,2309,AUX,17.76,3,20.74,1,33.02,root,18.01,0,65.37
3,9800,2483,VERB,18.2,4,20.05,1,32.01,root,17.38,0,62.15
4,9932,2701,VERB,15.88,4,19.84,1,32.69,root,14.03,0,62.9
5,9948,2876,NOUN,18.69,3,19.14,1,31.39,root,9.63,0,62.78
6,9972,2891,NOUN,18.66,3,18.61,1,30.14,case,10.0,0,64.37
7,9559,2820,NOUN,18.87,3,18.84,1,29.58,punct,9.93,0,64.16
8,9142,2709,NOUN,18.22,3,18.99,1,29.74,punct,10.75,0,65.38
9,8704,2699,NOUN,18.64,3,19.05,1,28.37,punct,11.35,0,64.84
10,8252,2566,NOUN,18.82,3,18.9,1,29.5,punct,12.02,0,66.02
