feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,scope,layer,positive_minus_negative,ci_low,ci_high,se,p_value_two_sided,n_layers,n_positive_layers,n_supported_positive_layers,n_supported_negative_layers,support,ci_method
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,last_layer,12.0,0.014561232688300434,0.014179133350649865,0.014943332025951004,0.00019494864165845344,0.0,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_bert-base-uncased.csv,layer_mean,,0.026828030890806934,0.026682695114189105,0.026973366667424763,7.415090643766706e-05,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_bert-base-uncased.csv,last_layer,12.0,20.91246502499314,20.5035074930917,21.32142255689458,0.20865180199052977,0.0,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_bert-base-uncased.csv,layer_mean,,138.70924704197807,138.44246394286213,138.97603014109401,0.1361138260795679,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,last_layer,12.0,4.138113109493421,3.8285135001822415,4.447712718804601,0.15795898434243852,2.845747860383862e-151,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,bert,bert-base-uncased,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_gride_bert-base-uncased.csv,layer_mean,,4.815845327661956,4.528048867101855,5.103641788222056,0.1468349288571939,6.353637593942519e-236,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,last_layer,12.0,7.965866880651324e-05,7.965866880651324e-05,7.965866880651324e-05,0.0,,1,1,0,0,observed_positive_group_greater_no_ci,no_source_uncertainty
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_iso_gpt2.csv,layer_mean,,0.000725797557185814,0.000725797557185814,0.000725797557185814,0.0,,13,13,0,0,observed_positive_group_greater_no_ci,no_source_uncertainty
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,last_layer,12.0,41.94208153419817,41.94208153419817,41.94208153419817,0.0,,1,1,0,0,observed_positive_group_greater_no_ci,no_source_uncertainty
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,lpca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_lpca99_gpt2.csv,layer_mean,,113.30258463509281,113.30258463509281,113.30258463509281,0.0,,13,13,0,0,observed_positive_group_greater_no_ci,no_source_uncertainty
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_gride_gpt2.csv,last_layer,12.0,0.8846630496346273,0.8846630496346273,0.8846630496346273,0.0,,1,1,0,0,observed_positive_group_greater_no_ci,no_source_uncertainty
pos,POS,0,open_closed,Open classes,Closed classes,open_class,closed_class,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_POS/pos_bootstrap/pos_raw_gride_gpt2.csv,layer_mean,,13.250436341612733,13.250436341612733,13.250436341612733,0.0,,13,13,0,0,observed_positive_group_greater_no_ci,no_source_uncertainty
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,last_layer,12.0,0.017060798671341436,0.016275275126444284,0.017846322216238587,0.00040077731882507816,0.0,1,1,1,0,supports_positive_group_greater,normal_approx_from_contrast_ci
length,Token Length,1,long_short,Long tokens (length >= 7),Short tokens (length <= 3),long,short,bert,bert-base-uncased,iso,isoscore,Isotropy,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv,layer_mean,,0.030252166699455487,0.029970901121695884,0.03053343227721509,0.00014350284579571577,0.0,13,13,13,0,supports_positive_group_greater,normal_approx_from_contrast_ci
