feature,class,n_tokens,n_types,feature_label,class_label,log10_n_tokens,log10_n_types,token_rank,type_rank
arity,0,129064,7581,Arity,Arity: 0,5.11080512079751,3.8797264966395772,60.0,59.0
arity,1,20239,6441,Arity,Arity: 1,4.306189050400426,3.808953299155911,48.0,57.0
arity,2,18037,5846,Arity,Arity: 2,4.256164305279615,3.7668588110214176,44.0,56.0
arity,3,13546,4621,Arity,Arity: 3,4.131811071270342,3.664735968518705,34.0,53.0
arity,4,14030,4534,Arity,Arity: 4,4.14705767102836,3.6564815157904986,36.0,51.0
head_dist,-1,13038,2647,Head distance,Head distance: -1,4.1152109767041685,3.422753941301348,33.0,34.0
head_dist,-2,15690,5483,Head distance,Head distance: -2,4.195622943586937,3.739018245883481,40.0,55.0
head_dist,-3,10487,4117,Head distance,Head distance: -3,4.020651268004342,3.614580866997486,28.0,50.0
head_dist,-4,6684,3050,Head distance,Head distance: -4,3.8250364412213536,3.484299839346786,9.0,45.0
head_dist,-5,4545,2268,Head distance,Head distance: -5,3.657533887557986,3.355643050220869,4.0,28.0
head_dist,-6,19585,4572,Head distance,Head distance: -6,4.291923575883884,3.660106221723244,47.0,52.0
head_dist,1,57036,5218,Head distance,Head distance: 1,4.756149060342383,3.717504074764202,58.0,54.0
head_dist,2,28588,2747,Head distance,Head distance: 2,4.45618377342913,3.438858659420562,52.0,38.0
head_dist,3,13592,1840,Head distance,Head distance: 3,4.133283365860989,3.2648178230095364,35.0,23.0
head_dist,4,6439,1171,Head distance,Head distance: 4,3.808818425092124,3.068556895072363,7.0,18.0
head_dist,5,3249,795,Head distance,Head distance: 5,3.511749711344983,2.9003671286564705,1.0,16.0
head_dist,6,5937,1779,Head distance,Head distance: 6,3.7735670489260587,3.250175948083925,6.0,22.0
index,1,10067,1600,Token index,Token index: 1,4.002900068611387,3.204119982655925,26.0,20.0
index,10,108145,12235,Token index,Token index: 10,5.034006444971532,4.087603973687808,59.0,60.0
index,2,9647,2309,Token index,Token index: 2,3.9843922785242656,3.3634239329171765,18.0,29.0
index,3,9800,2483,Token index,Token index: 3,3.9912260756924947,3.394976719554564,20.0,32.0
index,4,9932,2701,Token index,Token index: 4,3.9970367108825267,3.431524584187451,22.0,36.0
index,5,9948,2876,Token index,Token index: 5,3.9977357765978985,3.458788881710845,23.0,41.0
index,6,9972,2891,Token index,Token index: 6,3.998782269831736,3.4610480916706576,24.0,42.0
index,7,9559,2820,Token index,Token index: 7,3.9804124616068917,3.450249108319361,17.0,40.0
index,8,9142,2709,Token index,Token index: 8,3.961041216953312,3.4328090050331683,15.0,37.0
index,9,8704,2699,Token index,Token index: 9,3.9397188823541045,3.431202884556517,13.0,35.0
length,1,29626,74,Token length,Token length: 1,4.471673018500091,1.8692317197309762,53.0,5.0
length,10,7492,2782,Token length,Token length: 10,3.8745977687032,3.4443571256560275,10.0,39.0
length,2,29918,334,Token length,Token length: 2,4.475932557842308,2.5237464668115646,54.0,12.0
length,3,36097,911,Token length,Token length: 3,4.557471109451776,2.9595183769729982,57.0,17.0
length,4,33008,1660,Token length,Token length: 4,4.518619210629076,3.220108088040055,55.0,21.0
length,5,18892,2012,Token length,Token length: 5,4.276277936904663,3.30362797638389,46.0,25.0
length,6,14274,2373,Token length,Token length: 6,4.15454569242091,3.375297738217339,37.0,30.0
length,7,12188,2426,Token length,Token length: 7,4.085932445550636,3.3848907965305544,31.0,31.0
length,8,7895,2044,Token length,Token length: 8,3.897352134344313,3.3104808914626753,12.0,26.0
length,9,5526,1557,Token length,Token length: 9,3.7424108805804925,3.1922886125681202,5.0,19.0
pos,ADJ,12648,2156,POS,POS: ADJ,4.102021856924153,3.3336487565147013,32.0,27.0
pos,ADP,17557,116,POS,POS: ADP,4.24445030913543,2.0644579892269186,43.0,9.0
pos,ADV,9913,716,POS,POS: ADV,3.9962051061783246,2.8549130223078554,21.0,14.0
pos,AUX,11526,90,POS,POS: AUX,4.061678615245337,1.9542425094393248,30.0,6.0
pos,CCONJ,6627,21,POS,POS: CCONJ,3.821316970591097,1.3222192947339193,8.0,1.0
pos,DET,16123,36,POS,POS: DET,4.207445853984251,1.5563025007672873,41.0,3.0
pos,NOUN,33607,6903,POS,POS: NOUN,4.526429745983423,3.839037873388306,56.0,58.0
pos,NUM,3675,728,POS,POS: NUM,3.5652573434202135,2.862131379313037,2.0,15.0
pos,PRON,18255,138,POS,POS: PRON,4.261381837285747,2.1398790864012365,45.0,11.0
pos,PROPN,11203,3808,POS,POS: PROPN,4.049334335972284,3.580696939712437,29.0,48.0
pos,PUNCT,22123,94,POS,POS: PUNCT,4.3448440193371205,1.9731278535996986,50.5,7.5
pos,SCONJ,3815,62,POS,POS: SCONJ,3.581494542290899,1.792391689498254,3.0,4.0
pos,VERB,22095,3538,POS,POS: VERB,4.344294005898313,3.5487578285737045,49.0,47.0
relation_type,advmod,10307,704,Relation type,Relation type: advmod,4.0131322760460035,2.847572659142112,27.0,13.0
relation_type,amod,9312,1960,Relation type,Relation type: amod,3.969042967305813,3.292256071356476,16.0,24.0
relation_type,case,16577,128,Relation type,Relation type: case,4.2195059374728565,2.1072099696478683,42.0,10.0
relation_type,conj,7557,3810,Relation type,Relation type: conj,3.8783494222177755,3.5809249756756194,11.0,49.0
relation_type,det,15562,31,Relation type,Relation type: det,4.192065410979292,1.4913616938342726,38.0,2.0
relation_type,nsubj,15648,2562,Relation type,Relation type: nsubj,4.194458837443526,3.4085791254086675,39.0,33.0
relation_type,obj,9685,2978,Relation type,Relation type: obj,3.9860996250551297,3.473924693416157,19.0,43.0
relation_type,obl,8743,3228,Relation type,Relation type: obl,3.941660478388392,3.5089335260500327,14.0,46.0
relation_type,punct,22123,94,Relation type,Relation type: punct,4.3448440193371205,1.9731278535996986,50.5,7.5
relation_type,root,10046,3032,Relation type,Relation type: root,4.00199317382353,3.481729196960016,25.0,44.0
